sno,state_names,x,y
1,Andhra Pradesh,-40,-96
2,Arunachal Pradesh,184,105
3,Assam,153,65
4,Bihar ,46,51
5,Chhattisgarh,-3,-32
6,Goa,-77,105
7,Gujarat,-154,7
8,Haryana,-77,105
9,Himachal Pradesh,-65,150
10,Jharkhand,49,14
11,Karnataka,-95,-127
12,Kerala,-88,-195
13,Madhya Pradesh,-47,14
14,Maharashtra,-102,-48
15,Manipur,178,37
16,Meghalaya,139,46
17,Mizoram,167,17
18,Nagaland,188,60
19,Odisha,45,-45
20,Punjab,-86,127
21,Rajasthan,-129,72
22,Sikkim,98,78
23,Tamil Nadu,-58,-185
24,Telangana ,-45,-67
25,Tripura,145,15
26,Uttarakhand,-38,124
27,Uttar Pradesh ,-22,66
28,West Bengal,91,6
,,,
,,,
,,,
,j&k,-96,179
,ladak,-47,194
